AM1 1SCF XYZ VECTORS PRECISE GEO-OK CHARGE=0
benzene timing
 
 C      1.35369900 0    -0.33621100 0     0.00000000 0   0   0   0
 C      0.96801700 0     1.00423200 0     0.00000000 0   0   0   0
 C     -0.38568200 0     1.34044300 0     0.00000000 0   0   0   0
 C     -1.35369900 0     0.33621100 0     0.00000000 0   0   0   0
 C     -0.96801700 0    -1.00423200 0     0.00000000 0   0   0   0
 C      0.38568200 0    -1.34044300 0     0.00000000 0   0   0   0
 H      2.40838700 0    -0.59815800 0     0.00000000 0   0   0   0
 H      1.72221400 0     1.78664400 0     0.00000000 0   0   0   0
 H     -0.68617300 0     2.38480300 0     0.00000000 0   0   0   0
 H     -2.40838600 0     0.59815900 0     0.00000000 0   0   0   0
 H     -1.72221400 0    -1.78664500 0     0.00000000 0   0   0   0
 H      0.68617300 0    -2.38480300 0     0.00000000 0   0   0   0
